PassengerId,Survived,Pclass,Sex,Age,Ticket,Fare,Cabin,Embarked
637,0,3,male,32,STON/O 2. 3101292,7.925,,S
638,0,2,male,31,C.A. 31921,26.25,,S
639,0,3,female,41,3101295,39.6875,,S
640,0,3,male,,376564,16.1,,S
641,0,3,male,20,350050,7.8542,,S
642,1,1,female,24,PC 17477,69.3,B35,C
643,0,3,female,2,347088,27.9,,S
644,1,3,male,,1601,56.4958,,S
645,1,3,female,0.75,2666,19.2583,,C
646,1,1,male,48,PC 17572,76.7292,D33,C
647,0,3,male,19,349231,7.8958,,S
648,1,1,male,56,13213,35.5,A26,C
649,0,3,male,,S.O./P.P. 751,7.55,,S
650,1,3,female,23,CA. 2314,7.55,,S
651,0,3,male,,349221,7.8958,,S
652,1,2,female,18,231919,23,,S
653,0,3,male,21,8475,8.4333,,S
654,1,3,female,,330919,7.8292,,Q
655,0,3,female,18,365226,6.75,,Q
656,0,2,male,24,S.O.C. 14879,73.5,,S
657,0,3,male,,349223,7.8958,,S
658,0,3,female,32,364849,15.5,,Q
659,0,2,male,23,29751,13,,S
660,0,1,male,58,35273,113.275,D48,C
661,1,1,male,50,PC 17611,133.65,,S
662,0,3,male,40,2623,7.225,,C
663,0,1,male,47,5727,25.5875,E58,S
664,0,3,male,36,349210,7.4958,,S
665,1,3,male,20,STON/O 2. 3101285,7.925,,S
666,0,2,male,32,S.O.C. 14879,73.5,,S
667,0,2,male,25,234686,13,,S
668,0,3,male,,312993,7.775,,S
669,0,3,male,43,A/5 3536,8.05,,S
670,1,1,female,,19996,52,C126,S
671,1,2,female,40,29750,39,,S
672,0,1,male,31,F.C. 12750,52,B71,S
673,0,2,male,70,C.A. 24580,10.5,,S
674,1,2,male,31,244270,13,,S
675,0,2,male,,239856,0,,S
676,0,3,male,18,349912,7.775,,S
677,0,3,male,24.5,342826,8.05,,S
678,1,3,female,18,4138,9.8417,,S
679,0,3,female,43,CA 2144,46.9,,S
680,1,1,male,36,PC 17755,512.3292,B51 B53 B55,C
681,0,3,female,,330935,8.1375,,Q
682,1,1,male,27,PC 17572,76.7292,D49,C
683,0,3,male,20,6563,9.225,,S
684,0,3,male,14,CA 2144,46.9,,S
685,0,2,male,60,29750,39,,S
686,0,2,male,25,SC/Paris 2123,41.5792,,C
687,0,3,male,14,3101295,39.6875,,S
688,0,3,male,19,349228,10.1708,,S
689,0,3,male,18,350036,7.7958,,S
690,1,1,female,15,24160,211.3375,B5,S
691,1,1,male,31,17474,57,B20,S
692,1,3,female,4,349256,13.4167,,C
693,1,3,male,,1601,56.4958,,S
694,0,3,male,25,2672,7.225,,C
695,0,1,male,60,113800,26.55,,S
696,0,2,male,52,248731,13.5,,S
697,0,3,male,44,363592,8.05,,S
698,1,3,female,,35852,7.7333,,Q
699,0,1,male,49,17421,110.8833,C68,C
700,0,3,male,42,348121,7.65,F G63,S
701,1,1,female,18,PC 17757,227.525,C62 C64,C
702,1,1,male,35,PC 17475,26.2875,E24,S
703,0,3,female,18,2691,14.4542,,C
704,0,3,male,25,36864,7.7417,,Q
705,0,3,male,26,350025,7.8542,,S
706,0,2,male,39,250655,26,,S
707,1,2,female,45,223596,13.5,,S
708,1,1,male,42,PC 17476,26.2875,E24,S
709,1,1,female,22,113781,151.55,,S
710,1,3,male,,2661,15.2458,,C
711,1,1,female,24,PC 17482,49.5042,C90,C
712,0,1,male,,113028,26.55,C124,S
713,1,1,male,48,19996,52,C126,S
714,0,3,male,29,7545,9.4833,,S
715,0,2,male,52,250647,13,,S
716,0,3,male,19,348124,7.65,F G73,S
717,1,1,female,38,PC 17757,227.525,C45,C
718,1,2,female,27,34218,10.5,E101,S
719,0,3,male,,36568,15.5,,Q
720,0,3,male,33,347062,7.775,,S
721,1,2,female,6,248727,33,,S
722,0,3,male,17,350048,7.0542,,S
723,0,2,male,34,12233,13,,S
724,0,2,male,50,250643,13,,S
725,1,1,male,27,113806,53.1,E8,S
726,0,3,male,20,315094,8.6625,,S
727,1,2,female,30,31027,21,,S
728,1,3,female,,36866,7.7375,,Q
729,0,2,male,25,236853,26,,S
730,0,3,female,25,STON/O2. 3101271,7.925,,S
731,1,1,female,29,24160,211.3375,B5,S
732,0,3,male,11,2699,18.7875,,C
733,0,2,male,,239855,0,,S
734,0,2,male,23,28425,13,,S
735,0,2,male,23,233639,13,,S
736,0,3,male,28.5,54636,16.1,,S
737,0,3,female,48,W./C. 6608,34.375,,S
738,1,1,male,35,PC 17755,512.3292,B101,C
739,0,3,male,,349201,7.8958,,S
740,0,3,male,,349218,7.8958,,S
741,1,1,male,,16988,30,D45,S
742,0,1,male,36,19877,78.85,C46,S
743,1,1,female,21,PC 17608,262.375,B57 B59 B63 B66,C
744,0,3,male,24,376566,16.1,,S
745,1,3,male,31,STON/O 2. 3101288,7.925,,S
746,0,1,male,70,WE/P 5735,71,B22,S
747,0,3,male,16,C.A. 2673,20.25,,S
748,1,2,female,30,250648,13,,S
749,0,1,male,19,113773,53.1,D30,S
750,0,3,male,31,335097,7.75,,Q
751,1,2,female,4,29103,23,,S
752,1,3,male,6,392096,12.475,E121,S
753,0,3,male,33,345780,9.5,,S
754,0,3,male,23,349204,7.8958,,S
755,1,2,female,48,220845,65,,S
756,1,2,male,0.67,250649,14.5,,S
757,0,3,male,28,350042,7.7958,,S
758,0,2,male,18,29108,11.5,,S
759,0,3,male,34,363294,8.05,,S
760,1,1,female,33,110152,86.5,B77,S
761,0,3,male,,358585,14.5,,S
762,0,3,male,41,SOTON/O2 3101272,7.125,,S
763,1,3,male,20,2663,7.2292,,C
764,1,1,female,36,113760,120,B96 B98,S
765,0,3,male,16,347074,7.775,,S
766,1,1,female,51,13502,77.9583,D11,S
767,0,1,male,,112379,39.6,,C
768,0,3,female,30.5,364850,7.75,,Q
769,0,3,male,,371110,24.15,,Q
770,0,3,male,32,8471,8.3625,,S
771,0,3,male,24,345781,9.5,,S
772,0,3,male,48,350047,7.8542,,S
773,0,2,female,57,S.O./P.P. 3,10.5,E77,S
774,0,3,male,,2674,7.225,,C
775,1,2,female,54,29105,23,,S
776,0,3,male,18,347078,7.75,,S
777,0,3,male,,383121,7.75,F38,Q
778,1,3,female,5,364516,12.475,,S
779,0,3,male,,36865,7.7375,,Q
780,1,1,female,43,24160,211.3375,B3,S
781,1,3,female,13,2687,7.2292,,C
782,1,1,female,17,17474,57,B20,S
783,0,1,male,29,113501,30,D6,S
784,0,3,male,,W./C. 6607,23.45,,S
785,0,3,male,25,SOTON/O.Q. 3101312,7.05,,S
786,0,3,male,25,374887,7.25,,S
787,1,3,female,18,3101265,7.4958,,S
788,0,3,male,8,382652,29.125,,Q
789,1,3,male,1,C.A. 2315,20.575,,S
790,0,1,male,46,PC 17593,79.2,B82 B84,C
791,0,3,male,,12460,7.75,,Q
792,0,2,male,16,239865,26,,S
793,0,3,female,,CA. 2343,69.55,,S
794,0,1,male,,PC 17600,30.6958,,C
795,0,3,male,25,349203,7.8958,,S
796,0,2,male,39,28213,13,,S
797,1,1,female,49,17465,25.9292,D17,S
798,1,3,female,31,349244,8.6833,,S
799,0,3,male,30,2685,7.2292,,C
800,0,3,female,30,345773,24.15,,S
801,0,2,male,34,250647,13,,S
802,1,2,female,31,C.A. 31921,26.25,,S
803,1,1,male,11,113760,120,B96 B98,S
804,1,3,male,0.42,2625,8.5167,,C
805,1,3,male,27,347089,6.975,,S
806,0,3,male,31,347063,7.775,,S
807,0,1,male,39,112050,0,A36,S
808,0,3,female,18,347087,7.775,,S
809,0,2,male,39,248723,13,,S
810,1,1,female,33,113806,53.1,E8,S
811,0,3,male,26,3474,7.8875,,S
812,0,3,male,39,A/4 48871,24.15,,S
813,0,2,male,35,28206,10.5,,S
814,0,3,female,6,347082,31.275,,S
815,0,3,male,30.5,364499,8.05,,S
816,0,1,male,,112058,0,B102,S
817,0,3,female,23,STON/O2. 3101290,7.925,,S
818,0,2,male,31,S.C./PARIS 2079,37.0042,,C
819,0,3,male,43,C 7075,6.45,,S
820,0,3,male,10,347088,27.9,,S
821,1,1,female,52,12749,93.5,B69,S
822,1,3,male,27,315098,8.6625,,S
823,0,1,male,38,19972,0,,S
824,1,3,female,27,392096,12.475,E121,S
825,0,3,male,2,3101295,39.6875,,S
826,0,3,male,,368323,6.95,,Q
827,0,3,male,,1601,56.4958,,S
828,1,2,male,1,S.C./PARIS 2079,37.0042,,C
829,1,3,male,,367228,7.75,,Q
830,1,1,female,62,113572,80,B28,
831,1,3,female,15,2659,14.4542,,C
832,1,2,male,0.83,29106,18.75,,S
833,0,3,male,,2671,7.2292,,C
834,0,3,male,23,347468,7.8542,,S
835,0,3,male,18,2223,8.3,,S
836,1,1,female,39,PC 17756,83.1583,E49,C
837,0,3,male,21,315097,8.6625,,S
838,0,3,male,,392092,8.05,,S
839,1,3,male,32,1601,56.4958,,S
840,1,1,male,,11774,29.7,C47,C
841,0,3,male,20,SOTON/O2 3101287,7.925,,S
842,0,2,male,16,S.O./P.P. 3,10.5,,S
843,1,1,female,30,113798,31,,C
844,0,3,male,34.5,2683,6.4375,,C
845,0,3,male,17,315090,8.6625,,S
846,0,3,male,42,C.A. 5547,7.55,,S
847,0,3,male,,CA. 2343,69.55,,S
848,0,3,male,35,349213,7.8958,,C
849,0,2,male,28,248727,33,,S
850,1,1,female,,17453,89.1042,C92,C
851,0,3,male,4,347082,31.275,,S
852,0,3,male,74,347060,7.775,,S
853,0,3,female,9,2678,15.2458,,C
854,1,1,female,16,PC 17592,39.4,D28,S
855,0,2,female,44,244252,26,,S
856,1,3,female,18,392091,9.35,,S
857,1,1,female,45,36928,164.8667,,S
858,1,1,male,51,113055,26.55,E17,S
859,1,3,female,24,2666,19.2583,,C
860,0,3,male,,2629,7.2292,,C
861,0,3,male,41,350026,14.1083,,S
862,0,2,male,21,28134,11.5,,S
863,1,1,female,48,17466,25.9292,D17,S
864,0,3,female,,CA. 2343,69.55,,S
865,0,2,male,24,233866,13,,S
866,1,2,female,42,236852,13,,S
867,1,2,female,27,SC/PARIS 2149,13.8583,,C
868,0,1,male,31,PC 17590,50.4958,A24,S
869,0,3,male,,345777,9.5,,S
870,1,3,male,4,347742,11.1333,,S
871,0,3,male,26,349248,7.8958,,S
872,1,1,female,47,11751,52.5542,D35,S
873,0,1,male,33,695,5,B51 B53 B55,S
874,0,3,male,47,345765,9,,S
875,1,2,female,28,P/PP 3381,24,,C
876,1,3,female,15,2667,7.225,,C
877,0,3,male,20,7534,9.8458,,S
878,0,3,male,19,349212,7.8958,,S
879,0,3,male,,349217,7.8958,,S
880,1,1,female,56,11767,83.1583,C50,C
881,1,2,female,25,230433,26,,S
882,0,3,male,33,349257,7.8958,,S
883,0,3,female,22,7552,10.5167,,S
884,0,2,male,28,C.A./SOTON 34068,10.5,,S
885,0,3,male,25,SOTON/OQ 392076,7.05,,S
886,0,3,female,39,382652,29.125,,Q
887,0,2,male,27,211536,13,,S
888,1,1,female,19,112053,30,B42,S
889,0,3,female,,W./C. 6607,23.45,,S
890,1,1,male,26,111369,30,C148,C
891,0,3,male,32,370376,7.75,,Q
